0,,,,
0,,,,
0,,,,
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
15,,,,
17,,,,
17,,,,
18,,,,
18,,,,
19,,,,
20,,,,
22,,,,
22,,,,
22,,,,
22,,,,
26,,,,
22,,,,
29,,,,
29,,,,
30,,,,
33,,,,
32,,,,
33,,,,
33,,,,
34,,,,
34,,,,
33,,,,
36,,,,
33,,,,
38,,,,
40,,,,
44,,,,
44,,,,
4,,,,
4,,,,
44,,,,
46,,,,
44,,,,
49,,,,
49,,,,
50,,,,
55,,,,
55,,,,
52,,,,
53,,,,
54,,,,
56,,,,
58,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
66,,,,
68,,,,
70,,,,
77,,,,
72,,,,
73,,,,
73,,,,
73,,,,
75,,,,
77,,,,
77,,,,
77,,,,
76,,,,
76,,,,
76,,,,
76,,,,
76,,,,
75,,,,
75,,,,
75,,,,
75,,,,
74,,,,
74,,,,
74,,,,
74,,,,
76,,,,
78,,,,
88,,,,
88,,,,
88,,,,
88,,,,
79,,,,
79,,,,
79,,,,
78,,,,
78,,,,
78,,,,
78,,,,
78,,,,
77,,,,
77,,,,
77,,,,
76,,,,
76,,,,
76,,,,
75,,,,
75,,,,
75,,,,
74,,,,
74,,,,
74,,,,
74,,,,
75,,,,
77,,,,
77,,,,
77,,,,
76,,,,
76,,,,
76,,,,
75,,,,
75,,,,
75,,,,
74,,,,
74,,,,
74,,,,
75,,,,
77,,,,
77,,,,
77,,,,
76,,,,
76,,,,
76,,,,
75,,,,
75,,,,
75,,,,
74,,,,
74,,,,
74,,,,
75,,,,
77,,,,
77,,,,
77,,,,
76,,,,
76,,,,
76,,,,
75,,,,
75,,,,
75,,,,
74,,,,
74,,,,
74,,,,
75,,,,
76,,,,
76,,,,
76,,,,
76,,,,
75,,,,
75,,,,
75,,,,
74,,,,
74,,,,
74,,,,
75,,,,
76,,,,
76,,,,
76,,,,
76,,,,
76,,,,
76,,,,
75,,,,
75,,,,
75,,,,
74,,,,
74,,,,
74,,,,
75,,,,
75,,,,
75,,,,
75,,,,
75,,,,
74,,,,
74,,,,
74,,,,
75,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
76,,,,
76,,,,
76,,,,
75,,,,
75,,,,
75,,,,
74,,,,
74,,,,
74,,,,
75,,,,
77,,,,
78,,,,
77,,,,
77,,,,
76,,,,
76,,,,
76,,,,
75,,,,
75,,,,
75,,,,
74,,,,
74,,,,
74,,,,
75,,,,
76,,,,
76,,,,
76,,,,
76,,,,
75,,,,
75,,,,
74,,,,
74,,,,
74,,,,
76,,,,
78,,,,
79,,,,
78,,,,
78,,,,
78,,,,
78,,,,
77,,,,
77,,,,
76,,,,
76,,,,
76,,,,
75,,,,
75,,,,
74,,,,
74,,,,
74,,,,
75,,,,
76,,,,
76,,,,
76,,,,
75,,,,
75,,,,
74,,,,
73,,,,
74,,,,
76,,,,
77,,,,
77,,,,
76,,,,
76,,,,
75,,,,
74,,,,
73,,,,
74,,,,
74,,,,
77,,,,
79,,,,
78,,15081,75.7839196,5.083962526
